recipe_id,source,title,raw_ingredients,target_band,target_score,expected_swaps,swap_quality,notes,other_alternatives
masala-frittata-with-avocado-salsa,https://www.bbcgoodfood.com/recipes/masala-frittata-avocado-salsa,Masala frittata with avocado salsa,"2 tbsp olive oil; 3 onions 2½ thinly sliced, ½ finely chopped; 1 tbsp Madras curry paste; 500g cherry tomatoes halved; 1 red chilli deseeded and finely chopped; small pack coriander roughly chopped; 8 large eggs beaten; 1 avocado stoned, peeled and cubed; juice 1 lemon",Clean,83,Madras curry paste>toasted ground spices,5,"Eggs, onions, tomatoes, avocado - clean throughout; the jarred curry paste is the only packaged item.",
keto-chilli-con-carne,https://www.olivemagazine.com/recipes/healthy/keto-chili-con-carne/,Keto chilli con carne,1tbsp lard or ghee; 650g beef mince (20% fat); 1 small onion finely chopped; 1 green pepper finely chopped; 100g mushrooms finely chopped; 2 garlic cloves finely chopped; 1 ½tbsp ground cumin; 2tsp ground coriander; 1tsp chilli powder; 1tbsp red wine vinegar; 400g tin of chopped tomatoes; 300ml beef stock; 80g sour cream; 60g mature cheddar finely grated; flat leaf parsley finely chopped; 1-2 red chillies finely sliced,Mostly Clean,72,grated cheddar>block cheddar from the cheese aisle; sour cream>greek yogurt; 20% beef mince>10% lean mince; beef stock>low-sodium stock,,"Whole-food chilli; the deliberate keto fat load drags fat quality, and how hard to punish intentional fat is the ambiguity. Cheese handled as sourcing (block, not pre-shredded) rather than punished.

Items of concern (suggestion is no swap):
- lard: functional keto fat and you're right - olive oil won't replicate its behavior; it's also less processed than shortening. Suggestion is no swap. Other alternatives: ghee (the recipe already offers it), avocado oil, beef tallow.

--- Amber's v1 feedback ---
Cheese  - buy from the cheese aisle, not shredded
sour cream - option to use greek yogurt
im not sure how well olive oil will actually replace lard

--- Original v1 draft (superseded) ---
target: 72 Mostly Clean | expected swaps: lard>olive oil; 20% beef mince>10% lean mince; beef stock>low-sodium stock | your v1 swap grade: 3
v1 notes: Whole-food chilli, but the deliberate keto fat load (lard, 20% mince, cheese, sour cream) drags fat quality. How hard to punish intentional fat is the ambiguity.",
devilled-coronation-eggs,https://www.olivemagazine.com/recipes/entertain/devilled-coronation-eggs/,Devilled coronation eggs,12 eggs; 1 ready-roasted chicken breast (skin on); 25g butter; 4 spring onions finely chopped; 1 tbsp medium curry powder; ½ tsp mild chilli powder plus extra to sprinkle; 3 tbsp mayonnaise; 2 tbsp greek yogurt; 2 tbsp (any big pieces chopped) mango chutney; a squeeze of juice lemon; to serve coriander leaves,Mostly Clean,65,mayonnaise>homemade mayo; mango chutney>fresh mango + curry powder; ready-roasted chicken>home-roasted breast,,"Eggs are clean; mayo + sugary chutney + rotisserie bird add up. Mid-band Mostly Clean.

Items of concern (suggestion is no swap):
- butter (25g): minor and functional across 12 eggs. Suggestion is no swap. Other alternatives: olive oil, or omit.

--- Amber's v1 feedback ---
Mayo could be swapped for homemade instead of store bought

--- Original v1 draft (superseded) ---
target: 65 Mostly Clean | expected swaps: mayonnaise>more greek yogurt; mango chutney>fresh mango + curry powder; ready-roasted chicken>home-roasted breast | your v1 swap grade: 4
v1 notes: Eggs are clean; mayo + sugary chutney + rotisserie bird add up. Mid-band Mostly Clean.",
keto-egg-casserole-with-zucchini-and-ham,https://www.dietdoctor.com/recipes/keto-egg-casserole-with-zucchini-and-ham,Keto egg casserole with zucchini and ham,"1 lb zucchini, diced (about 0.25 inches or 0.5 centimeter); 6 large eggs; 1/4 cup whole milk; 2 oz. smoked deli ham, diced; 4 oz. cream cheese, softened; 1 scallion, sliced; 1 cup cheddar cheese, shredded; salt and pepper, to taste; 1 tbsp butter, for greasing (optional)",Mostly Clean,68,smoked deli ham>fresh cooked turkey; cream cheese>ricotta; cheddar>halve to 1/2 cup sharp,5,Egg-zucchini base is clean; deli ham plus three dairy fats pull it to the lower half of Mostly Clean.,
pan-seared-cod-in-salsa-with-queso-fresc,https://www.dietdoctor.com/recipes/high-protein-pan-seared-cod-in-salsa-with-queso-fresco,Pan-seared cod in salsa with queso fresco,"12 oz. cod, boneless fillets; 1 tsp ground cumin; 1 tsp chili powder; 1/4 tsp salt; 1 tbsp olive oil; 1/2 cup chunky salsa; 1/4 cup sour cream; 1/2 avocado; 2 oz. queso fresco or cheddar cheese",Clean,80,chunky salsa>fresh pico de gallo; sour cream>plain greek yogurt,5,Lean fish + avocado core; jarred salsa is the only packaged item. Sits at the band edge as written - with fresh pico it is solidly Clean.,
taco-skillet-low-carb-keto,https://www.the-girl-who-ate-everything.com/taco-skillet-low-carb-keto/,Taco Skillet (low-carb/Keto),"1 lb ground beef; 1 cup diced bell peppers (any color); 3/4 cup diced yellow onion; 2 tablespoons taco seasoning; 1/2 cup water; 1 14 ounce can diced tomatoes with green chiles, drained; 1 cup cheddar cheese; optional toppings: guacamole (sour cream, etc.)",Mostly Clean,70,taco seasoning>homemade chili-cumin blend; canned tomatoes with chiles>no-salt-added tomatoes + fresh jalapeno,,Beef-and-peppers skillet; the seasoning packet and salted canned tomatoes are the sodium knobs.,
low-carb-chicken-divan,https://themodernproper.com/low-carb-chicken-divan,Low-Carb Chicken Divan,"1 pound broccoli florets (about 8 cups); 8 ounces cream cheese; 1 cup heavy cream; ½ cup mayonnaise; ¼ cup sour cream; 1 tablespoon curry powder; 2 teaspoons Better Than Bouillon chicken base or 2 chicken bouillon cubes; 4 cups cooked, shredded chicken; 2 cups shredded cheddar cheese; Cooked rice or cauliflower rice, for serving (optional)",Processed,56,mayonnaise>homemade mayo or greek yogurt; heavy cream>whole milk; Better Than Bouillon>low-sodium broth; cream cheese>blended cottage cheese,,"Broccoli and chicken under four dairy fats plus concentrated bouillon - a health-halo casserole; the cream/mayo load is the real problem, not the cheese. Target nudged up 2 since fresh cheese isn't the villain.

Items of concern (suggestion is no swap):
- cheddar (2 cups): you guessed it - spared for flavor: it's the defining topping, and fresh-aisle cheese is acceptable. Suggestion is no swap. Other alternatives: block sharp cheddar grated fresh (sharp gives the same flavor from less), gruyere.

--- Amber's v1 feedback ---
cheddar and cream cheese are missing for swaps - perhaps due to flavor?

--- Original v1 draft (superseded) ---
target: 54 Processed | expected swaps: mayonnaise>greek yogurt; heavy cream>whole milk; Better Than Bouillon>low-sodium broth
v1 notes: Broccoli and chicken buried under four dairy fats plus concentrated bouillon - a health-halo casserole. The cream load is what a careful labeler should punish.",
30-minute-mozzarella-chicken-skillet,https://gimmedelicious.com/30-minute-mozzarella-chicken-skillet/,30-Minute Mozzarella Chicken Skillet,"2 tablespoons olive oil; 1 onion (finely chopped); 3-4 garlic cloves (minced or grated); 1 (15 oz) can crushed tomatoes or your favorite marinara; 1 teaspoon Italian seasoning; ½ teaspoon EACH garlic powder, crushed red pepper, salt, pepper; 4 small-medium boneless, skinless chicken breasts; 8 oz fresh or shredded mozzarella; fresh basil (to garnish)",Mostly Clean,78,jarred marinara>plain crushed tomatoes + herbs; shredded mozzarella>fresh mozzarella from the cheese aisle,,"Simple tomato-braised chicken. Reframed per your rule: fresh-aisle mozzarella is not the villain - the real knobs are marinara-vs-crushed-tomatoes and shredded-vs-fresh sourcing. Target raised 76->78; grazes Clean.

--- Amber's v1 feedback ---
I dont think cheese is the worst ingredient and you tend to score it super lowly. As long as it is coming from the fresh aisle it is better!

--- Original v1 draft (superseded) ---
target: 76 Mostly Clean | expected swaps: jarred marinara>plain crushed tomatoes + herbs; mozzarella>halve to 4 oz fresh | your v1 swap grade: 4
v1 notes: Simple tomato-braised chicken; the cheese quantity and the marinara-vs-crushed-tomatoes choice decide whether it grazes Clean.",
cheesesteak-stuffed-peppers-low-carb-ket,https://gimmedelicious.com/cheesesteak-stuffed-peppers/,"Cheesesteak Stuffed Peppers (Low-carb, Keto)",2 lb beef (sliced very thinly ); 1 large onion (sliced into half rings); 3 large bell peppers; 12 oz provolone cheese (grated); 1 tsp salt (adjust to taste); 1 tsp pepper (adjust to taste); 1 tbsp olive oil,Mostly Clean,75,grated provolone>provolone sliced fresh at the cheese counter; beef>90% lean sirloin sliced thin,,"Five real ingredients. Cheese handled as sourcing instead of quantity (no more halving); beef swap specifies fat content per your note. Target 73->75 with the softer cheese penalty.

--- Amber's v1 feedback ---
halving the amount of cheese is just fine, i dont think its a great swap
specifying the beef fat content could be beneficial here

--- Original v1 draft (superseded) ---
target: 73 Mostly Clean | expected swaps: 12 oz provolone>6 oz provolone | your v1 swap grade: 4
v1 notes: Only five real ingredients; 12 oz cheese over 2 lb beef is the fat-quality drag.",
marry-me-chicken,https://gimmedelicious.com/marry-me-chicken/,Marry Me Chicken,3 chicken breasts (sliced in half (6 cutlets)); 1 tsp salt; ½ tsp black pepper; 4 tbsp flour; 1 tbsp olive oil; 1 tbsp butter; ¼ cup minced onions; 3-4 garlic cloves (minced); 1 cup heavy cream; ½ cup chicken broth; ½ cup sun-dried tomatoes (chopped); ½ cup Parmesan cheese (grated); 1 tsp Italian seasoning (or oregano) (optional); ½ tsp red pepper flakes (optional); basil leaves (optional garnish),Mostly Clean,68,heavy cream>half-and-half; all-purpose flour>arrowroot dusting; chicken broth>low-sodium broth,,Whole ingredients but a cream-butter-parmesan sauce concentrates saturated fat. Mid Mostly Clean.,
big-mac-salad-low-carb-keto,https://gimmedelicious.com/big-mac-salad/,"Big Mac Salad (Low Carb, Keto)","1 pound 85-90% ground beef; 1/2 cup diced onions; 1/2 teaspoon salt; 1/2 teaspoon pepper; 6 cups romaine lettuce (chopped); 1/2 cup sliced red onion; 1 cup shredded cheddar cheese; 1 cup tomato, diced (optional); 1/4 cup dill pickles (sliced or diced); 3/4 cup mayo; 2 tablespoon dill pickles, finely minced (or pickle relish); 1 tablespoon mustard (or French/Thousand Island Dressing); 1/2 teaspoon smoked paprika; 1/2 teaspoon garlic powder; 1/2 teaspoon onion powder",Mostly Clean,64,mayo dressing>homemade mayo or greek yogurt base; ground beef>93% lean; cheddar>block sharp cheddar grated fresh; pickle relish>chopped dill pickles,,"Axis note (your question): the score measures processing, so 'less processed' leads every swap; 'healthier' (fat/sodium) is the secondary axis and is tagged where it's the driver. Salad format hides a 3/4-cup mayo dressing - that stays the biggest knob.

--- Amber's v1 feedback ---
Should be pretty good. I think homemade mayo is another worthwhile option
My question is : Are we aiming to make it healthier or less processed. I think that needs to be built into the WHY

--- Original v1 draft (superseded) ---
target: 62 Mostly Clean | expected swaps: mayo dressing>greek yogurt + mustard base; ground beef>93% lean; cheddar>halve | your v1 swap grade: 4
v1 notes: Salad format hides a 3/4-cup mayo dressing. Lower half of Mostly Clean once that is weighed.",
one-pot-marry-me-chicken-pasta,https://www.halfbakedharvest.com/marry-me-chicken-pasta/,One Pot Marry Me Chicken Pasta,"1/2 cup oil-packed sun-dried tomatoes, oil drained; 1 pound boneless chicken breasts or thighs, cubed; salt and black pepper; 4 teaspoons Italian seasoning; 2 tablespoons salted butter; 2 cloves garlic, chopped; 3/4 -1 pound short cut pasta; 2 cups whole milk; 2 ounces cream cheese; 2 cups chopped baby spinach; 1/2 cup grated parmesan cheese; 1/2 cup fresh chopped basil",Mostly Clean,65,"short cut pasta>homemade pasta, or veggie noodles, or bean/egg noodles; cream cheese>blended cottage cheese",,"Your two v1 comments applied: swaps now state the WHY axis (less-processed leads, since that's what the score measures), and the pasta swap uses the real ladder instead of whole-grain boxed pasta. Cream cheese goes to cottage cheese per your call.

Items of concern (suggestion is no swap):
- butter (2 tbsp): small and functional. Suggestion is no swap. Other alternatives: olive oil.
- parmesan (1/2 cup): fresh-aisle hard cheese used modestly. Suggestion is no swap. Other alternatives: buy a wedge and grate fresh - avoid pre-grated tubs.

--- Amber's v1 feedback ---
Once again I am not clear on the alternatives: are the options chose because they are healther, because they are less processed, because they are sourced better?
Pasta - whole-grain pasta is still very processed. Technically the right call to me is homemade pasta -> veggie noodles of some kind -> alternative noodles of some kind like bean or egg
cream cheese - greek yogurt is fine, but i think cottage cheese might be a better call... also back to my first comment - why?? we need improved reasoning - theyre both processed so it must be that it is less processed

--- Original v1 draft (superseded) ---
target: 65 Mostly Clean | expected swaps: short cut pasta>whole-grain pasta; cream cheese>greek yogurt off heat | your v1 swap grade: 3
v1 notes: One-pot cream pasta: real chicken and spinach, but a pound of white pasta plus cream cheese caps it.",
paccheri-pasta-with-marsala-mushrooms,https://giadzy.com/blogs/recipes/paccheri-pasta-with-marsala-mushrooms-giada,Paccheri Pasta with Marsala Mushrooms,3 tablespoons olive oil (divided); 2 garlic cloves (smashed and peeled); 1 pound fresh porcini mushrooms or royal trumpets (sliced 1/4 inch); 3/4 teaspoon kosher salt; 1 shallot (chopped); 1/4 cup sweet marsala wine; 1/2 cup low sodium chicken broth; 2 tablespoons unsalted butter; 1 pound paccheri pasta; 1 1/2 cups freshly grated parmesan cheese; 2 cups baby arugula; 1/2 cup roasted salted pistachios,Mostly Clean,71,"paccheri>homemade pasta, or veggie noodles, or bean/egg noodles; salted pistachios>unsalted roasted pistachios",5,"Pasta ladder applied per your comment; cheese treated as sourcing, not quantity. Real porcini and arugula are the clean core.
Parmesan and sweet marsala are missing from commentary","parmesan (1.5 cups)>fresh-grated wedge is acceptable fresh-aisle cheese - halving it was a lazy v1 suggestion>Parmigiano-Reggiano wedge over pre-grated tubs, or pecorino for a sharper hit from less; sweet marsala>the sugar is in the wine itself and it names the dish>dry marsala (less residual sugar)"
garlic-shrimp-pasta,https://www.billyparisi.com/garlic-shrimp-pasta/,Garlic Shrimp Pasta,"1 pound of dry spaghetti pasta; 5 tablespoons olive oil; 2 pounds peeled and deveined 16/20 shrimp; 6 thinly sliced garlic cloves; 1 peeled small-diced shallot; 1 seeded small-diced Fresno pepper, sub 1 to 2 teaspoons of pepper flakes; juice of 1 lemon; 1 cup dry white wine; 4 tablespoons unsalted butter; 1 cup grated Parmigiano Reggiano; ¼ cup finely minced fresh parsley; Zest of ½ lemon; coarse salt and freshly cracked pepper to taste",Mostly Clean,73,"dry spaghetti>homemade pasta, or veggie noodles, or bean/egg noodles",5,"Two pounds of shrimp and fresh aromatics are clean; the refined pasta base is the cap. Pasta ladder applied.
Flagged items: butter and parmesan are missing from the commentary",butter (4 tbsp)>the emulsifier that makes the sauce - swapping it breaks the dish>finish with extra-virgin olive oil + pasta water for part of it; Parmigiano Reggiano (1 cup)>fresh-grated wedge cheese - acceptable fresh-aisle sourcing>avoid pre-grated tubs
pasta-primavera,https://www.cookingclassy.com/pasta-primavera/,Pasta Primavera,"10 oz. dry Barilla Penne Pasta; Salt; 1/4 cup olive oil; 1/2 medium red onion, (sliced); 1 large carrot, (peeled and sliced into matchsticks); 2 cups broccoli florets, (cut into matchsticks); 1 medium red bell pepper, (sliced into matchsticks); 1 medium yellow squash, (sliced into quarter portions); 1 medium zucchini, (sliced into quarter portions); 3 - 4 cloves garlic cloves, (minced); 1 cup (heaping) grape tomatoes, (halved through the length); 2 tsp dried Italian seasoning; 1/2 cup pasta water; 2 Tbsp fresh lemon juice; 1/2 cup shredded parmesan,* (divided); 2 Tbsp chopped fresh parsley",Mostly Clean,77,"penne>homemade pasta, or veggie noodles, or bean/egg noodles",5,"Vegetable-loaded and olive-oil based; only the refined pasta base holds it out of Clean. My composite lands exactly on the 80 cutoff - I hold it at high Mostly Clean until the base changes. Good boundary test.
parmesan is missing from commentary","parmesan (1/2 cup)>garnish amount, fresh-aisle>buy a wedge, grate fresh"
shrimp-scampi-without-wine-recipe,https://foolproofliving.com/linguine-with-shrimp-scampi/,Shrimp Scampi without Wine Recipe,1 pound large or extra large shrimp* (thawed if frozen); 1 cup water; ½ teaspoon kosher salt; 2 tablespoons olive oil; 3 tablespoons unsalted butter; 5 cloves garlic (peeled and minced); ½ teaspoon kosher salt; ¼ teaspoon ground black pepper; 1 teaspoon lemon zest; 2 tablespoons lemon juice; 3 tablespoons fresh parsley (chopped),Clean,85,,,"As listed this is shrimp, olive oil, butter, garlic, lemon - no pasta appears in the ingredient list, so the score reflects the list as submitted, not the implied linguine serving.","butter (3 tbsp)>functional in a scampi sauce>shift the ratio toward the olive oil already in the pan; kosher salt (listed twice)>easy to double-salt by accident>salt once, taste at the end"
baked-ziti-with-meat-sauce-recipe,https://foolproofliving.com/baked-ziti/,Baked Ziti with Meat Sauce Recipe,1 tablespoon olive oil; 1 lb. ground beef; 1 medium onion (chopped); 1 can crushed tomatoes (28-ounce); 1 tablespoon red wine vinegar; 2 cloves garlic (minced); 1 teaspoon kosher salt; 1/2 teaspoon black pepper (freshly ground); 1/4 teaspoon ground cumin (optional); 1/4 teaspoon red pepper flakes (optional); 1/4 cup fresh basil (torn); 1 pound ziti pasta; 1 tablespoon kosher salt; 1 cup ricotta cheese (homemade or store bought); 1 cup mozzarella cheese (grated); 1/4 cup fresh parsley (chopped),Mostly Clean,68,"ziti>homemade pasta, or veggie noodles, or bean/egg noodles; ground beef>90% lean; mozzarella>fresh mozzarella from the cheese aisle",5,Scratch marinara and real ricotta are genuine pluses. Pasta ladder applied; cheese treated as sourcing. Target 66->68 with the softer cheese penalty.,
oven-baked-chicken-parmesan-recipe,https://foolproofliving.com/oven-baked-chicken-parmesan/,Oven Baked Chicken Parmesan Recipe,1 1/2 cups panko breadcrumbs; 1 tablespoon olive oil; 1 oz. grated Parmesan cheese (approximately 1/2 cup); 1/2 cup all-purpose flour; 1 teaspoon kosher salt; 1/2 teaspoon black pepper; 1 1/2 teaspoons garlic powder; 3 egg whites; 1 tablespoon water; Vegetable cooking spray; 3 chicken breasts (boneless and skinless - sliced into cutlets - (6-8 ounces each)); 3/4 cup mozzarella cheese (shredded); 1 tablespoon minced fresh basil; 2 cans crushed tomatoes (14 oz. each); 4 cloves garlic (minced); 1 tablespoon tomato paste; 1 teaspoon olive oil; 1/8 teaspoon red pepper flakes (optional); 1 tablespoon minced fresh basil leaves,Mostly Clean,71,panko>whole-wheat panko or homemade breadcrumbs; cooking spray>brush of olive oil; all-purpose flour>whole-wheat flour dredge,5,Baked-not-fried keeps fat quality decent and the sauce is from scratch; refined breading is the drag. Every flagged item now has a swap or a stated pass.,"mozzarella (3/4 cup)>modest amount, fresh-aisle acceptable>fresh mozzarella, sliced"
